Area,Mean,Min,Max,ID,Diameter (mm),Comments,Date measurement (mm/dd/yy),was open at punching?
2.28,83.295,33,235,M159_R,1.70,,10/14/24,
2.50,77.479,39,212,M159_L,1.78,,10/14/24,
3.24,123.185,55,166,E764_L,2.03,,10/14/24,
1.55,83.591,33,198,M160_R,1.41,,10/14/24,
3.64,74.873,24,193,M160_L,2.15,Open,10/14/24,
3.58,135.579,69,187,E767_L,2.14,,10/21/24,
3.52,82.738,34,236,M171_R,2.12,Open,10/21/24,
3.00,89.079,35,211,M171_L,1.95,Open,10/21/24,
4.24,128.36,63,173,E768_L,2.32,,10/21/24,
2.41,84.39,43,241,M172_R,1.75,Open,10/21/24,
5.15,85.793,24,252,M172_L,2.56,Open,10/21/24,
3.27,136.51,61,179,E769_L,2.04,,10/21/24,
2.43,74.407,27,246,M173_R,1.76,,10/21/24,
2.82,97.798,35,246,M173_L,1.90,,10/21/24,
4.42,135.964,67,199,E770_L,2.37,,10/21/24,
2.09,80.748,30,207,M174_R,1.63,,10/21/24,
1.82,76.88,30,246,M174_L,1.52,,10/21/24,
2.84,116.108,51,159,E746_L,1.90,,10/21/24,
1.98,124.016,59,203,C140_R,1.59,,10/21/24,
1.62,122.362,60,209,C140_L,1.44,,10/21/24,
3.88,137.649,65,183,E747_L,2.22,,10/21/24,
2.59,132.788,58,170,C144_R,1.82,,10/21/24,
2.13,124.561,56,185,C144_L,1.65,,10/21/24,
3.68,152.827,70,188,E748_L,2.16,,10/29/24,
1.86,121.484,57,186,C145_R,1.54,,10/29/24,
4.03,120.878,35,181,C145_L,2.27,,10/29/24,
3.45,142.531,63,178,E749_L,2.10,,10/29/24,
1.34,89.712,42,206,M161_R,1.31,,10/29/24,
0.96,85.555,43,194,M161_L,1.11,,10/29/24,
2.36,133.847,73,203,E750_L,1.73,,10/29/24,
1.78,91.354,40,213,M162_R,1.51,,10/29/24,
1.28,90.877,41,200,M162_L,1.28,,10/29/24,
3.52,136.214,66,176,E751_L,2.12,,10/29/24,
0.93,91.707,37,211,M163_R,1.09,,10/29/24,
1.41,96.246,38,210,M163_L,1.34,,10/29/24,
4.75,138.314,63,201,E752_L,2.46,,10/29/24,
2.14,93.196,49,233,M164_R,1.65,Open,10/29/24,
1.27,81.033,37,211,M164_L,1.27,,10/29/24,
3.17,122.832,60,179,E759_L,2.01,,10/29/24,
2.62,91.487,32,211,M166_R,1.83,Open,10/29/24,
0.85,80.942,36,197,M166_L,1.04,,10/29/24,
2.31,121.731,59,186,E760_L,1.71,,10/29/24,
3.10,105.779,47,191,M167_R,1.99,Open,10/29/24,
2.40,77.276,31,200,M167_L,1.75,,10/29/24,
2.92,122.209,63,180,E761_L,1.93,,10/29/24,
1.57,115.935,36,245,M168_R,1.42,,10/29/24,
3.13,89.908,45,230,M168_L,2.00,,10/29/24,
2.82,130.858,68,211,E765_L,1.89,,10/29/24,
1.89,91.541,29,228,M169_R,1.55,,10/29/24,
2.62,91.572,27,224,M169_L,1.83,,10/29/24,
4.53,138.113,75,180,E766_L,2.40,,10/29/24,
1.65,104.996,37,201,M176_R,1.45,,10/29/24,
2.28,77.991,33,224,M176_L,1.71,,10/29/24,
3.83,124.002,57,191,E771_L,2.21,,10/29/24,
2.17,83.002,36,214,M177_R,1.66,Open,10/29/24,
1.54,73.975,32,187,M177_L,1.40,,10/29/24,
4.46,127.549,63,180,E772_L,2.38,,10/29/24,
3.66,68.009,27,193,M178_R,2.16,Open,10/29/24,
2.13,75.045,24,177,M178_L,1.65,Open,10/29/24,
6.26,124.337,54,167,E773_L,2.82,,10/30/24,
2.83,81.752,41,221,M179_R,1.90,,10/30/24,
4.68,109.881,51,241,M179_L,2.44,Open,10/30/24,
5.08,125.713,52,198,E774_L,2.54,,10/30/24,
2.69,124.015,52,179,C146_R,1.85,,10/30/24,
2.30,122.047,60,195,C146_L,1.71,,10/30/24,
4.37,129.329,57,174,E775_L,2.36,,10/30/24,
2.35,117.441,63,172,C152_R,1.73,,10/30/24,
2.66,118.385,49,174,C152_L,1.84,,10/30/24,
4.80,122.046,52,178,E776_L,2.47,,10/30/24,
1.49,108.092,46,177,C153_R,1.38,,10/30/24,
3.55,126.588,52,186,C153_L,2.13,,10/30/24,
3.92,128.99,61,208,E780_L,2.23,,10/30/24,
2.60,129.186,58,209,C154_R,1.82,,10/30/24,
2.41,123.658,70,172,C154_L,1.75,,10/30/24,
4.38,150.91,68,185,E781_L,2.36,,10/30/24,
3.60,125.303,58,192,C155_R,2.14,Open,10/30/24,
3.94,125.486,54,168,C155_L,2.24,Open,10/30/24,
6.52,128.234,50,197,E782_L,2.88,Open,10/30/24,
3.31,98.007,18,194,C156_R,2.05,Open,10/30/24,
3.27,119.955,45,171,C156_L,2.04,,10/30/24,
4.51,132.32,54,212,E783_L,2.40,,10/30/24,
3.79,125.14,46,181,C157_R,2.20,Open,10/30/24,
3.24,117.934,55,172,C157_L,2.03,,10/30/24,
3.98,124.869,45,189,E784_L,2.25,,10/30/24,
2.75,124.87,56,168,C158_R,1.87,,10/30/24,
3.35,126.834,60,193,C158_L,2.07,,10/30/24,
4.00,131.419,27,186,E788_L,2.26,,10/30/24,
1.73,99.843,42,223,M182_R,1.48,,10/30/24,
3.09,82.266,26,229,M182_L,1.98,,10/30/24,
4.13,124.136,65,164,E790_L,2.29,,10/30/24,
2.31,93.429,33,232,M184_R,1.72,,10/30/24,
1.58,99.23,39,221,M184_L,1.42,,10/30/24,
3.25,126.087,66,205,E794_L,2.04,,10/30/24,
3.61,78.009,24,200,M188_R,2.14,Open,10/30/24,
0.90,99.772,36,222,M188_L,1.07,,10/30/24,
4.79,141.834,57,194,E791_L,2.47,,12/9/24,
2.27,79.64,28,216,M185_R,1.70,Open,12/9/24,
1.27,81.364,41,247,M185_L,1.27,,12/9/24,
4.22,134.939,59,224,E793_L,2.32,,12/9/24,
2.61,89.977,46,243,M187_R,1.82,,12/9/24,
1.71,88.525,37,233,M187_L,1.48,,12/9/24,
5.64,129.597,53,204,E795_L,2.68,,12/9/24,
0.94,92.771,47,199,M195_R,1.09,,12/9/24,
1.22,93.165,49,209,M195_L,1.25,,12/9/24,
5.65,129.901,48,191,E796_L,2.68,,12/9/24,
1.37,91.025,47,211,M196_R,1.32,,12/9/24,
1.03,103.348,49,230,M196_L,1.15,Open,12/9/24,
2.67,122.66,52,186,E801_L,1.85,,12/9/24,
0.37,115.624,57,204,M197_R,0.69,Open,12/9/24,
1.33,101.907,46,230,M197_L,1.30,,12/9/24,
1.99,142.198,73,186,E802_L,1.59,,12/9/24,
0.77,103.745,48,194,M198_R,0.99,,12/9/24,
1.72,88.977,37,197,M198_L,1.48,Open,12/9/24,
2.89,137.098,76,203,E803_L,1.92,Open,12/9/24,
1.95,90.548,41,226,M202_R,1.58,,12/9/24,
0.91,96.946,41,237,M202_L,1.08,,12/9/24,
3.75,136.3,65,205,E804_L,2.19,,12/9/24,
3.19,95.49,36,214,M203_R,2.02,Open,12/9/24,
2.58,94.355,48,242,M203_L,1.81,,12/9/24,
3.34,127.593,57,198,E805_L,2.06,,12/9/24,
4.07,80.212,22,192,M204_R,2.28,Open,12/9/24,
1.65,92.317,41,214,M204_L,1.45,,12/9/24,
3.27,140.567,68,231,E806_L,2.04,,12/9/24,
1.87,86.626,41,227,M205_R,1.54,,12/9/24,
0.90,103.94,51,223,M205_L,1.07,,12/9/24,
3.66,138.483,68,201,E825_L,2.16,,12/9/24,
3.15,130.122,63,212,C164_R,2.00,Open,12/9/24,
3.13,137.173,58,181,C164_L,2.00,Open,12/9/24,
3.33,133.744,69,189,E826_L,2.06,,12/9/24,
2.22,126.692,54,196,C170_R,1.68,Open,12/9/24,
1.28,113.942,61,197,C170_L,1.28,,12/9/24,
3.12,140.861,76,195,E827_L,1.99,,12/23/24,
1.02,92.84,43,193,M206_R,1.14,Open,12/23/24,
2.53,85.905,39,201,M206_L,1.79,Open,12/23/24,
4.10,136.204,66,173,E838_L,2.29,,12/23/24,
2.02,83.27,32,191,M208_R,1.60,Open,12/23/24,
0.36,109.22,54,193,M208_L,0.68,,12/23/24,
2.07,152.901,84,233,E841_L,1.62,,12/23/24,
1.50,78.301,41,193,M214_R,1.38,Open,12/23/24,
1.33,96.964,38,187,M214_L,1.30,Open,12/23/24,
4.53,139.798,60,194,E818_L,2.40,,12/23/24,
2.74,132.205,71,215,C160_R,1.87,,12/23/24,
1.55,125.005,62,179,C160_L,1.41,,12/23/24,
2.72,115.795,55,176,E821_L,1.86,Open,12/23/24,
2.55,118.219,59,184,C161_R,1.80,Open,12/23/24,
1.19,117.286,79,189,C161_L,1.23,,12/23/24,
2.91,127.081,62,164,E822_L,1.92,,12/23/24,
2.29,127.301,63,196,C162_R,1.71,,12/23/24,
2.27,136.561,53,166,C162_L,1.70,Open,12/23/24,
8.04,147.158,60,180,E823_L,3.20,Open,12/23/24,
2.33,125.426,59,156,C163_R,1.72,Open,12/23/24,
2.18,126.895,71,195,C163_L,1.67,,12/23/24,
3.83,140.575,68,192,E834_L,2.21,,12/23/24,
2.61,76.163,27,220,M207_R,1.82,,12/23/24,
2.10,82.632,34,182,M207_L,1.63,,12/23/24,
5.33,140.737,69,172,E840_L,2.61,Open,12/23/24,
3.67,81.768,33,195,M213_R,2.16,,12/23/24,
2.61,78.692,40,183,M213_L,1.82,Open,12/23/24,
2.92,137.132,70,190,E831_L,1.93,,12/23/24,
1.97,124.662,61,175,C171_R,1.58,Open,12/23/24,
1.70,125.566,71,184,C171_L,1.47,,12/23/24,
4.24,134.734,70,171,E832_L,2.32,,12/23/24,
2.10,91.7,24,218,M209_R,1.64,,12/23/24,
3.17,85.493,38,222,M209_L,2.01,,12/23/24,
3.55,136.421,79,197,E833_L,2.13,,12/23/24,
1.62,75.881,32,242,M210_R,1.44,Open,12/23/24,
1.77,91.179,44,194,M210_L,1.50,,12/23/24,
3.14,142.136,83,237,E835_L,2.00,,12/30/24,
1.28,76.741,27,209,M211_R,1.27,,12/30/24,
1.55,82.144,27,220,M211_L,1.40,,12/30/24,
3.14,138.977,52,184,E836_L,2.00,,12/30/24,
3.36,83.508,35,215,M215_R,2.07,,12/30/24,
1.52,78.782,35,198,M215_L,1.39,Open,12/30/24,
4.32,136.933,61,195,E837_L,2.35,Open,12/30/24,
2.53,80.55,38,194,M216_R,1.80,Open,12/30/24,
1.82,81.69,31,235,M216_L,1.52,,12/30/24,
6.44,142.486,59,204,E845_L,2.86,,12/30/24,
3.31,122.576,42,192,C173_R,2.05,Open,12/30/24,
2.71,142.421,64,195,C173_L,1.86,Open,12/30/24,
4.51,126.556,56,177,E846_L,2.40,,12/30/24,
2.15,126.291,45,181,C165_R,1.65,Open,12/30/24,
2.00,126.113,70,173,C165_L,1.60,,12/30/24,
3.54,148.498,68,181,E847_L,2.12,Open,12/30/24,
3.08,140.509,50,182,C174_R,1.98,Open,12/30/24,
2.26,126.176,69,185,C174_L,1.70,,12/30/24,
5.26,130.494,52,188,E848_L,2.59,,12/30/24,
2.99,142.156,49,185,C175_R,1.95,Open,12/30/24,
5.91,145.078,39,177,C175_L,2.74,Open,12/30/24,
